omega,ita,seed,n_particles,mean_sor_iter,median_sor_iter,std_sor_iter,max_sor_iter,min_sor_iter,total_sor_iter
1.7,0.0,0,999,26.2992992992993,21.0,61.33860068050911,1799,1,26273
1.7,0.0,1,999,26.06806806806807,18.0,62.67381733028652,1799,1,26042
1.7,0.0,2,999,25.41941941941942,20.0,60.94121014845061,1799,1,25394
1.7,0.0,3,999,25.815815815815817,18.0,61.15154635601492,1799,1,25790
1.7,0.0,4,999,25.45145145145145,22.0,60.43730688456306,1799,1,25426
1.7,0.5,0,999,43.87987987987988,33.0,64.93902264623202,1799,1,43836
1.7,0.5,1,999,44.908908908908906,31.0,67.95073224567514,1799,1,44864
1.7,0.5,2,999,46.887887887887885,34.0,66.37280160002048,1799,1,46841
1.7,0.5,3,999,43.71871871871872,32.0,65.87823541854944,1799,1,43675
1.7,0.5,4,999,44.014014014014016,32.0,64.99788095262903,1799,1,43970
1.7,1.0,0,999,67.31931931931932,60.0,70.70476859051712,1799,1,67252
1.7,1.0,1,999,65.95595595595596,54.0,72.41562044301084,1799,1,65890
1.7,1.0,2,999,67.29929929929929,58.0,69.8128164368718,1799,1,67232
1.7,1.0,3,999,65.15315315315316,56.0,69.94914188192438,1799,1,65088
1.7,1.0,4,999,65.47347347347348,56.0,70.13768132315494,1799,1,65408
1.7,1.5,0,999,66.55155155155155,52.0,85.25867778257135,1799,1,66485
1.7,1.5,1,999,64.13513513513513,41.0,87.40820872039687,1799,1,64071
1.7,1.5,2,999,69.06106106106107,57.0,82.13285019013787,1799,1,68992
1.7,1.5,3,999,66.04504504504504,47.0,84.92478549967105,1799,1,65979
1.7,1.5,4,999,67.36536536536536,61.0,82.07861195330867,1799,1,67298
1.7,2.0,0,999,58.41841841841842,1.0,93.00030192025379,1799,1,58360
1.7,2.0,1,999,57.38438438438438,1.0,94.06482119784941,1799,1,57327
1.7,2.0,2,999,57.65765765765766,1.0,92.5375281333576,1799,1,57600
1.7,2.0,3,999,56.94194194194194,1.0,94.42920897762924,1799,1,56885
1.7,2.0,4,999,62.632632632632635,34.0,88.80590444807719,1799,1,62570
1.75,0.0,0,999,26.83983983983984,24.0,52.55227984103892,1511,1,26813
1.75,0.0,1,999,26.484484484484483,20.0,53.89922667483881,1511,1,26458
1.75,0.0,2,999,25.86086086086086,23.0,52.21285130598749,1511,1,25835
1.75,0.0,3,999,26.084084084084083,21.0,52.36717729833385,1511,1,26058
1.75,0.0,4,999,26.117117117117118,25.0,51.71196597231649,1511,1,26091
1.75,0.5,0,999,44.33833833833834,36.0,56.58538280500388,1511,1,44294
1.75,0.5,1,999,45.02502502502502,35.0,58.728505955678465,1511,1,44980
1.75,0.5,2,999,46.58158158158158,36.0,58.10338289811796,1511,1,46535
1.75,0.5,3,999,43.048048048048045,36.0,56.49105179253012,1511,1,43005
1.75,0.5,4,999,43.7997997997998,36.0,56.426287188205166,1511,1,43756
1.75,1.0,0,999,64.87587587587588,58.0,61.36022886442735,1511,1,64811
1.75,1.0,1,999,62.6966966966967,50.0,61.952410770682675,1511,1,62634
1.75,1.0,2,999,64.32032032032032,59.0,59.67239136978915,1511,1,64256
1.75,1.0,3,999,64.87587587587588,57.0,60.70670401628744,1511,1,64811
1.75,1.0,4,999,61.987987987987985,54.0,60.34634651238838,1511,1,61926
1.75,1.5,0,999,62.04304304304304,47.0,74.1023096903909,1511,1,61981
1.75,1.5,1,999,57.889889889889886,40.0,78.07079439089058,1511,1,57832
1.75,1.5,2,999,64.07207207207207,54.0,71.63359674757233,1511,1,64008
1.75,1.5,3,999,58.6966966966967,43.0,76.82215007301565,1511,1,58638
1.75,1.5,4,999,61.889889889889886,52.0,72.53925717650829,1511,1,61828
1.75,2.0,0,999,53.42542542542542,1.0,82.22261704024716,1511,1,53372
