seed,ita,N,steps,stop_threshold,debug,omega,parallel,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
0,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.676132521974307,791,0.08788888888888889,54.13226497303721,1.7924812503605778,0.9998994980587714,153,87,1.7586206896551724,0.0,0,259,98,1123,0.3783783783783784
1,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6875477463712758,767,0.08522222222222223,53.59389476008956,1.7838422546446602,0.9999298141039307,154,85,1.811764705882353,0.0,0,269,117,1016,0.4349442379182156
2,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6611813106082868,809,0.0898888888888889,53.52007826767238,1.7967622571122899,0.999873382902785,164,83,1.9759036144578312,0.0,0,265,127,1081,0.47924528301886793
3,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7259820924417197,806,0.08955555555555555,53.53438043807819,1.6875197156734625,0.9989674059617285,161,77,2.090909090909091,0.0,0,260,115,1089,0.4423076923076923
4,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6858710562414266,878,0.09755555555555556,53.61930518841967,1.6831611071229073,0.9990289112261318,162,81,2.0,0.0,0,296,130,1120,0.4391891891891892
5,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7407407407407407,803,0.08922222222222222,53.561595901873154,1.7706866160867365,0.9998422642590721,150,81,1.8518518518518519,0.0,0,252,131,1066,0.5198412698412699
6,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6733502917851264,801,0.089,53.52866936926832,1.7253307045047823,0.9998749775616552,163,82,1.9878048780487805,0.0,0,290,116,1103,0.4
7,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7239382239382239,869,0.09655555555555556,53.895599696697566,1.788174685208224,0.9999941798088808,148,84,1.7619047619047619,0.0,0,284,167,1181,0.5880281690140845
8,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7401315789473685,822,0.09133333333333334,53.5171613181749,1.76624754041351,0.9996431531363682,152,80,1.9,0.0,0,231,143,1099,0.6190476190476191
9,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6946588453226304,836,0.09288888888888888,53.60849124283702,1.8502198590705459,0.9999992483315605,158,82,1.9268292682926829,0.0,0,287,124,1097,0.43205574912891986
10,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6565509191712868,781,0.08677777777777777,54.26472150485986,1.8372998566029164,0.9998899163716601,149,92,1.6195652173913044,0.0,0,259,122,1160,0.47104247104247104
11,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6995724834823164,787,0.08744444444444445,53.49065858218195,1.7838422546446602,0.9999298141039307,155,83,1.8674698795180722,0.0,0,271,117,1109,0.4317343173431734
12,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6987577639751553,803,0.08922222222222222,53.61304567609144,1.7297158093186482,0.9992888940943961,161,80,2.0125,0.0,0,256,113,1063,0.44140625
13,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6912442396313364,704,0.07822222222222222,53.55094044199618,1.8285561432384956,0.9998439050281365,155,84,1.8452380952380953,0.0,0,225,89,920,0.39555555555555555
14,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7495003331112592,781,0.08677777777777777,53.478423478799165,1.8197051423717656,0.9998145218693401,152,79,1.9240506329113924,0.0,0,240,129,1035,0.5375
15,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6884944920440637,762,0.08466666666666667,53.625799139344615,1.8285561432384956,0.9999985281778763,152,86,1.7674418604651163,0.0,0,257,114,1022,0.44357976653696496
16,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7689678742310321,844,0.09377777777777778,53.80875806450511,1.7794836460941053,0.9997893264924381,154,76,2.026315789473684,0.0,0,266,165,1098,0.6203007518796992
17,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.6902899217671422,788,0.08755555555555555,53.62021903059413,1.8372998566029164,0.9999900759536117,159,82,1.9390243902439024,0.0,0,265,127,1033,0.47924528301886793
18,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7087172218284904,813,0.09033333333333333,53.775780380721166,1.7750985412802398,0.999816604079615,153,83,1.8433734939759037,0.0,0,277,131,1085,0.4729241877256318
19,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7081038552321007,849,0.09433333333333334,53.91268249061007,1.8416322871664799,0.9999923011166904,155,82,1.8902439024390243,0.0,0,277,125,1088,0.45126353790613716
20,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7122507122507122,780,0.08666666666666667,53.5016396425796,1.7838422546446602,0.9994834846147898,162,78,2.076923076923077,0.0,0,266,123,1060,0.462406015037594
21,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7258064516129032,746,0.08288888888888889,53.57305085374341,1.7706866160867365,0.9996053553209615,155,80,1.9375,0.0,0,271,108,1012,0.3985239852398524
22,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.7142857142857143,739,0.08211111111111111,53.7515322779009,1.8329412480523615,0.9999952171808282,150,84,1.7857142857142858,0.0,0,243,79,985,0.32510288065843623
23,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.648228176318064,808,0.08977777777777778,53.747472291985765,1.7924812503605778,0.9998938167371914,156,89,1.752808988764045,0.0,0,252,119,1088,0.4722222222222222
24,0.0,300,10000,0.1,False,1.7,True,9000,0.1,0.598404255319149,852,0.09466666666666666,53.99411078997412,1.8416322871664799,0.9998760927462872,160,94,1.702127659574468,0.0,0,277,131,1160,0.4729241877256318
0,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4608294930875576,6634,0.7371111111111112,69.53187358646713,1.8081293156053466,0.9998398442676738,155,126,1.2301587301587302,0.0,0,1211,2224,6134,1.8364987613542527
1,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.5180154253482214,6587,0.7318888888888889,70.65848930674296,1.8264696472685815,0.9999550297713469,146,119,1.226890756302521,0.0,0,1244,2169,6038,1.7435691318327975
2,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.5126452494873548,6568,0.7297777777777777,69.39601573577549,1.8324809113931877,0.9999898233978374,154,114,1.3508771929824561,0.0,0,1206,2211,6116,1.8333333333333333
3,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.528355054596689,6616,0.7351111111111112,68.26784911085322,1.7864448342102905,0.9999066411553185,167,102,1.6372549019607843,0.0,0,1158,2273,6160,1.96286701208981
4,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.487012987012987,6647,0.7385555555555555,67.60701147070472,1.8142947165607066,0.9998040268641548,168,110,1.5272727272727273,0.0,0,1166,2408,6282,2.065180102915952
5,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4826254826254826,6729,0.7476666666666667,68.26551187174319,1.7894693565466933,0.9998931719236319,168,111,1.5135135135135136,0.0,0,1198,2259,6243,1.8856427378964942
6,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.44087391006172233,6635,0.7372222222222222,68.37834452514919,1.798467571193616,0.9998480685154162,173,118,1.4661016949152543,0.0,0,1260,2220,6131,1.7619047619047619
