seed,ps,N,target_occupancy,max_steps_per_walker,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
0,1.0,100,0.1,100000,920,0.092,0.092,873,0.9489130434782609,68.46277154013356,1.1293671342000837,0.99782026050721,100,100,1.0,0.99,1,177,63,601,0.3559322033898305
1,1.0,100,0.1,100000,1000,0.1,0.1,951,0.951,69.94914581322634,1.2617809780285063,0.9998376265024531,100,100,1.0,0.99,1,194,65,633,0.33505154639175255
2,1.0,100,0.1,100000,986,0.0986,0.0986,939,0.9523326572008114,70.82159111995915,1.1935115615546237,0.9991237588842891,100,100,1.0,0.99,1,167,63,650,0.3772455089820359
3,1.0,100,0.1,100000,1000,0.1,0.1,960,0.96,68.19768324510738,1.2512501702645915,0.9980433601993607,100,100,1.0,0.8,1,200,73,670,0.365
4,1.0,100,0.1,100000,941,0.0941,0.0941,881,0.9362380446333688,70.43407239915219,1.3044046213377618,0.999969922281351,100,100,1.0,0.99,1,182,56,571,0.3076923076923077
5,1.0,100,0.1,100000,1000,0.1,0.1397819401733296,958,0.958,57.6787309153036,1.469299727667928,0.9997727650372699,73,98,0.7448979591836735,0.0,0,243,74,650,0.3045267489711934
6,1.0,100,0.1,100000,1000,0.1,0.14925373134328357,965,0.965,65.04889699295447,1.5294468445267835,0.9997804831266307,67,100,0.67,0.56,1,210,56,637,0.26666666666666666
7,1.0,100,0.1,100000,1000,0.1,0.12987012987012986,962,0.962,63.53399090250824,1.4139095123086596,0.999895553906799,77,100,0.77,0.49,1,222,65,655,0.2927927927927928
8,1.0,100,0.1,100000,975,0.0975,0.0975,925,0.9487179487179487,70.60532412553458,1.3349256991538343,0.9978882781628267,100,100,1.0,0.99,1,174,53,600,0.3045977011494253
9,1.0,100,0.1,100000,955,0.0955,0.0955,894,0.9361256544502617,68.86787562567702,1.2702841906813507,0.9999114852839819,100,100,1.0,0.99,1,175,56,597,0.32
10,1.0,100,0.1,100000,1000,0.1,0.16129032258064516,959,0.959,63.33093241063169,1.4515191350564562,0.9989721320400075,62,100,0.62,0.47,1,211,68,662,0.3222748815165877
11,1.0,100,0.1,100000,945,0.0945,0.09545454545454546,887,0.9386243386243386,67.34059366797679,1.2187026561536485,0.9997331168355046,99,100,0.99,0.99,1,187,69,604,0.3689839572192513
12,1.0,100,0.1,100000,988,0.0988,0.0988,942,0.9534412955465587,69.50762344231883,1.3245464190704357,0.9993377007892131,100,100,1.0,0.99,1,185,62,637,0.33513513513513515
13,1.0,100,0.1,100000,944,0.0944,0.0944,898,0.951271186440678,71.57534254907166,1.2924812503605776,0.9997357654555925,100,100,1.0,0.99,1,177,82,604,0.4632768361581921
14,1.0,100,0.1,100000,1000,0.1,0.16393442622950818,958,0.958,63.12169199253138,1.477098155193438,0.9999507121255266,61,100,0.61,0.46,1,239,69,654,0.28870292887029286
15,1.0,100,0.1,100000,890,0.089,0.0898989898989899,849,0.9539325842696629,70.34218131327826,1.1935115615546235,0.9977449686877542,99,100,0.99,0.99,1,169,56,577,0.33136094674556216
16,1.0,100,0.1,100000,1000,0.1,0.15873015873015872,958,0.958,65.66200575675403,1.4319692252119858,0.9999922952682521,63,100,0.63,0.56,1,200,60,656,0.3
17,1.0,100,0.1,100000,1000,0.1,0.1,955,0.955,65.5178143713601,1.345157750433692,0.9997725428870317,100,100,1.0,0.76,1,209,73,641,0.3492822966507177
18,1.0,100,0.1,100000,847,0.0847,0.0847,809,0.9551357733175915,69.97351497610349,1.2554809596386893,0.998531516933788,100,100,1.0,0.99,1,162,54,538,0.3333333333333333
19,1.0,100,0.1,100000,998,0.0998,0.0998,946,0.9478957915831663,69.33615944088643,1.3390359525563182,0.999463512588436,100,100,1.0,0.99,1,199,60,624,0.3015075376884422
20,1.0,100,0.1,100000,952,0.0952,0.0952,904,0.9495798319327731,71.41505649453515,1.1609640474436806,0.9987142035064499,100,100,1.0,0.99,1,172,58,593,0.3372093023255814
21,1.0,100,0.1,100000,1000,0.1,0.1,949,0.949,67.6029511190155,1.2246537006817948,0.9984630596983867,100,100,1.0,0.95,1,207,68,657,0.3285024154589372
22,1.0,100,0.1,100000,984,0.0984,0.0984,937,0.9522357723577236,70.27257470804355,1.2144216494019373,0.998696446325041,100,100,1.0,0.99,1,169,53,621,0.3136094674556213
23,1.0,100,0.1,100000,1000,0.1,0.1,963,0.963,69.41790835224006,1.2823923093917626,0.9996353550321492,100,100,1.0,0.83,1,169,68,651,0.40236686390532544
24,1.0,100,0.1,100000,1000,0.1,0.11235955056179775,962,0.962,67.83619977563602,1.4339482319963268,0.99975099224291,89,100,0.89,0.86,1,204,67,643,0.3284313725490196
0,0.5,100,0.1,100000,1000,0.1,0.1694915254237288,934,0.934,54.410660720119914,1.560507700480683,0.9996477439264616,59,100,0.59,0.02,1,225,87,662,0.38666666666666666
1,0.5,100,0.1,100000,1000,0.1,0.2,927,0.927,58.01682514581439,1.560507700480683,0.9999999970601665,50,100,0.5,0.02,1,230,91,642,0.39565217391304347
2,0.5,100,0.1,100000,1000,0.1,0.17543859649122806,919,0.919,61.33285416479491,1.5849625007211567,0.9996368847971231,57,100,0.57,0.35,1,184,103,643,0.5597826086956522
3,0.5,100,0.1,100000,1000,0.1,0.16339869281045752,926,0.926,56.99232404455884,1.5849625007211559,0.9996714433008147,68,90,0.7555555555555555,0.0,0,236,97,631,0.4110169491525424
4,0.5,100,0.1,100000,1000,0.1,0.14226774790155072,930,0.93,56.642466401102276,1.415037499278843,0.9969251636347707,71,99,0.7171717171717171,0.0,0,223,105,656,0.47085201793721976
5,0.5,100,0.1,100000,1000,0.1,0.16129032258064516,938,0.938,61.16970655479721,1.5376440636521183,0.999078201328991,62,100,0.62,0.16,1,225,82,643,0.36444444444444446
6,0.5,100,0.1,100000,1000,0.1,0.13157894736842105,902,0.902,69.00626058554397,1.2924812503605776,0.9976122921052318,76,100,0.76,0.74,1,204,83,610,0.4068627450980392
7,0.5,100,0.1,100000,1000,0.1,0.17295053614666206,933,0.933,47.928404939033804,1.5933503570965701,0.9999816848830914,59,98,0.6020408163265306,0.0,0,222,104,662,0.46846846846846846
