ita,seed,R_g,D_est,D_r,occupancy,perimeter,endpoints,branchpoints,skeleton_length
0.0,0,3.271085446759225,1.942123130546945,0.9951165624165352,0.5,34,2,8,17
0.0,1,3.334666400106613,1.9361887565539704,0.9940494102630043,0.5,36,4,14,22
0.0,2,3.1298562267299115,1.9160123825695938,0.9944041101293757,0.5,33,0,12,15
0.0,3,2.992858165700473,2.002048786934155,0.9956446320524877,0.5,26,2,0,8
0.0,4,3.1417192745374307,1.8079314124683346,0.9868587562167702,0.5,36,2,12,19
0.0,5,3.363866822571904,1.6764088677719078,0.9905360818242537,0.5,34,2,12,25
0.0,6,3.100774096899031,1.7863733451649135,0.9944046375305463,0.5,28,3,5,12
0.0,7,3.0429590861528193,1.869516835204543,0.9893471393139956,0.5,28,3,3,15
0.0,8,3.2953300289955783,1.9608631675889683,0.9766469748806219,0.5,38,2,10,22
0.0,9,3.1432467291003423,1.8783631447263525,0.997295723299411,0.5,31,4,10,18
0.0,10,3.0210594168271503,2.098296372615652,0.9938089473686762,0.5,28,3,7,12
0.0,11,3.08966017548856,1.9196101222131814,0.9955735248184526,0.5,30,3,1,14
0.0,12,3.145600101729398,1.7772029706799821,0.9700088972860403,0.5,34,2,10,19
0.0,13,3.3533863481561434,1.8958561742013846,0.9870800193420829,0.5,40,4,15,24
0.0,14,3.152776554086889,1.999720600688489,0.9943925260035925,0.5,31,2,5,11
0.0,15,3.26165602110339,1.7896458156509867,0.9945585623544647,0.5,33,1,8,18
0.0,16,3.152522799283139,1.8044787663006332,0.9910304263966419,0.5,33,3,4,10
0.0,17,3.200312484742701,1.852894482259735,0.9956326274608593,0.5,33,3,9,18
0.0,18,3.442150490609032,1.740848701017653,0.9946197176261337,0.5,39,3,11,18
0.0,19,3.2112925746496535,1.7973151975674169,0.9957765553954578,0.5,33,2,6,16
0.5,0,3.1664491153340837,2.001757068723796,0.9752699284271362,0.5,29,1,4,13
0.5,1,3.2746908251008984,1.6452709347826566,0.9769638283514642,0.5,33,3,11,21
0.5,2,3.0266813509188575,2.020057833631043,0.9924236366001168,0.5,28,3,7,18
0.5,3,3.068354607929142,1.8158988517001788,0.9787181820365835,0.5,28,4,7,16
0.5,4,3.1835200643313057,2.1140702712215513,0.970195000270466,0.5,33,4,12,22
