Time,X_Index,Y_Index,Concentration
0.00900,25,0,0.00000
0.00900,25,1,0.00000
0.00900,25,2,0.00000
0.00900,25,3,0.00000
0.00900,25,4,0.00000
0.00900,25,5,0.00000
0.00900,25,6,0.00000
0.00900,25,7,0.00000
0.00900,25,8,0.00000
0.00900,25,9,0.00000
0.00900,25,10,0.00000
0.00900,25,11,0.00000
0.00900,25,12,0.00000
0.00900,25,13,0.00000
0.00900,25,14,0.00000
0.00900,25,15,0.00000
0.00900,25,16,0.00000
0.00900,25,17,0.00000
0.00900,25,18,0.00000
0.00900,25,19,0.00000
0.00900,25,20,0.00001
0.00900,25,21,0.00001
0.00900,25,22,0.00003
0.00900,25,23,0.00005
0.00900,25,24,0.00010
0.00900,25,25,0.00019
0.00900,25,26,0.00034
0.00900,25,27,0.00060
0.00900,25,28,0.00103
0.00900,25,29,0.00174
0.00900,25,30,0.00287
0.00900,25,31,0.00463
0.00900,25,32,0.00732
0.00900,25,33,0.01133
0.00900,25,34,0.01718
0.00900,25,35,0.02552
0.00900,25,36,0.03716
0.00900,25,37,0.05301
0.00900,25,38,0.07415
0.00900,25,39,0.10172
0.00900,25,40,0.13686
0.00900,25,41,0.18069
0.00900,25,42,0.23414
0.00900,25,43,0.29791
0.00900,25,44,0.37232
0.00900,25,45,0.45725
0.00900,25,46,0.55206
0.00900,25,47,0.65561
0.00900,25,48,0.76623
0.00900,25,49,0.88183
0.00900,25,50,1.00000
0.01800,25,0,0.00000
0.01800,25,1,0.00000
0.01800,25,2,0.00000
0.01800,25,3,0.00000
0.01800,25,4,0.00000
0.01800,25,5,0.00000
0.01800,25,6,0.00000
0.01800,25,7,0.00001
0.01800,25,8,0.00001
0.01800,25,9,0.00001
0.01800,25,10,0.00002
0.01800,25,11,0.00004
0.01800,25,12,0.00006
0.01800,25,13,0.00009
0.01800,25,14,0.00015
0.01800,25,15,0.00022
0.01800,25,16,0.00034
0.01800,25,17,0.00050
0.01800,25,18,0.00074
0.01800,25,19,0.00108
0.01800,25,20,0.00156
0.01800,25,21,0.00223
0.01800,25,22,0.00316
0.01800,25,23,0.00443
0.01800,25,24,0.00614
0.01800,25,25,0.00843
0.01800,25,26,0.01144
0.01800,25,27,0.01538
0.01800,25,28,0.02046
0.01800,25,29,0.02695
0.01800,25,30,0.03514
0.01800,25,31,0.04537
0.01800,25,32,0.05799
0.01800,25,33,0.07340
0.01800,25,34,0.09200
0.01800,25,35,0.11421
0.01800,25,36,0.14044
0.01800,25,37,0.17106
0.01800,25,38,0.20643
0.01800,25,39,0.24682
0.01800,25,40,0.29243
0.01800,25,41,0.34339
0.01800,25,42,0.39969
0.01800,25,43,0.46119
0.01800,25,44,0.52765
0.01800,25,45,0.59866
0.01800,25,46,0.67372
0.01800,25,47,0.75216
0.01800,25,48,0.83326
0.01800,25,49,0.91617
0.01800,25,50,1.00000
0.02700,25,0,0.00000
0.02700,25,1,0.00001
0.02700,25,2,0.00003
0.02700,25,3,0.00005
0.02700,25,4,0.00007
0.02700,25,5,0.00010
0.02700,25,6,0.00015
0.02700,25,7,0.00021
0.02700,25,8,0.00030
0.02700,25,9,0.00041
0.02700,25,10,0.00057
0.02700,25,11,0.00079
0.02700,25,12,0.00107
0.02700,25,13,0.00145
0.02700,25,14,0.00194
0.02700,25,15,0.00259
0.02700,25,16,0.00343
0.02700,25,17,0.00451
0.02700,25,18,0.00589
0.02700,25,19,0.00764
0.02700,25,20,0.00984
0.02700,25,21,0.01259
0.02700,25,22,0.01599
0.02700,25,23,0.02018
0.02700,25,24,0.02530
0.02700,25,25,0.03150
0.02700,25,26,0.03896
0.02700,25,27,0.04787
0.02700,25,28,0.05844
0.02700,25,29,0.07087
0.02700,25,30,0.08539
0.02700,25,31,0.10222
0.02700,25,32,0.12159
0.02700,25,33,0.14372
0.02700,25,34,0.16881
0.02700,25,35,0.19705
0.02700,25,36,0.22860
0.02700,25,37,0.26358
0.02700,25,38,0.30210
0.02700,25,39,0.34418
0.02700,25,40,0.38983
0.02700,25,41,0.43898
0.02700,25,42,0.49150
0.02700,25,43,0.54723
0.02700,25,44,0.60591
0.02700,25,45,0.66724
0.02700,25,46,0.73089
0.02700,25,47,0.79644
0.02700,25,48,0.86346
0.02700,25,49,0.93148
0.02700,25,50,1.00000
0.03600,25,0,0.00000
0.03600,25,1,0.00012
0.03600,25,2,0.00024
0.03600,25,3,0.00038
0.03600,25,4,0.00055
0.03600,25,5,0.00075
0.03600,25,6,0.00101
0.03600,25,7,0.00133
0.03600,25,8,0.00173
0.03600,25,9,0.00223
0.03600,25,10,0.00286
0.03600,25,11,0.00365
0.03600,25,12,0.00462
0.03600,25,13,0.00582
0.03600,25,14,0.00730
0.03600,25,15,0.00910
0.03600,25,16,0.01128
0.03600,25,17,0.01393
0.03600,25,18,0.01710
0.03600,25,19,0.02089
0.03600,25,20,0.02539
0.03600,25,21,0.03071
0.03600,25,22,0.03696
0.03600,25,23,0.04425
0.03600,25,24,0.05273
0.03600,25,25,0.06252
0.03600,25,26,0.07377
0.03600,25,27,0.08662
0.03600,25,28,0.10122
0.03600,25,29,0.11771
0.03600,25,30,0.13624
0.03600,25,31,0.15695
0.03600,25,32,0.17996
0.03600,25,33,0.20538
0.03600,25,34,0.23331
0.03600,25,35,0.26384
0.03600,25,36,0.29702
0.03600,25,37,0.33287
0.03600,25,38,0.37140
0.03600,25,39,0.41258
0.03600,25,40,0.45635
0.03600,25,41,0.50262
0.03600,25,42,0.55125
0.03600,25,43,0.60209
0.03600,25,44,0.65494
0.03600,25,45,0.70958
0.03600,25,46,0.76575
0.03600,25,47,0.82319
0.03600,25,48,0.88158
0.03600,25,49,0.94063
0.03600,25,50,1.00000
0.04500,25,0,0.00000
0.04500,25,1,0.00041
0.04500,25,2,0.00085
0.04500,25,3,0.00132
0.04500,25,4,0.00185
0.04500,25,5,0.00245
0.04500,25,6,0.00317
0.04500,25,7,0.00401
0.04500,25,8,0.00500
0.04500,25,9,0.00619
0.04500,25,10,0.00760
0.04500,25,11,0.00928
0.04500,25,12,0.01128
0.04500,25,13,0.01363
0.04500,25,14,0.01640
0.04500,25,15,0.01964
0.04500,25,16,0.02343
0.04500,25,17,0.02784
0.04500,25,18,0.03294
0.04500,25,19,0.03882
0.04500,25,20,0.04556
0.04500,25,21,0.05327
0.04500,25,22,0.06204
0.04500,25,23,0.07196
0.04500,25,24,0.08315
0.04500,25,25,0.09571
0.04500,25,26,0.10974
0.04500,25,27,0.12535
0.04500,25,28,0.14264
0.04500,25,29,0.16170
0.04500,25,30,0.18262
0.04500,25,31,0.20548
0.04500,25,32,0.23036
0.04500,25,33,0.25730
0.04500,25,34,0.28636
0.04500,25,35,0.31755
0.04500,25,36,0.35089
0.04500,25,37,0.38637
0.04500,25,38,0.42395
0.04500,25,39,0.46359
0.04500,25,40,0.50521
0.04500,25,41,0.54872
0.04500,25,42,0.59400
0.04500,25,43,0.64092
0.04500,25,44,0.68932
0.04500,25,45,0.73902
0.04500,25,46,0.78984
0.04500,25,47,0.84157
0.04500,25,48,0.89399
0.04500,25,49,0.94688
